Species,Days in N-free Media,Date,Replicate,Cell Density,Growth Rate,Dilution Factor,NO3+NO2,NH4,PO4,SiO4,DIN,PD NO3+NO2,PD NH4,PD PO4,PD SiO4,PD DIN,Dry Wt,Particulate C Conc,Particulate N Conc,Particulate P Conc,PD Particulate C,PD Particulate N,PD Particulate P,C,N,P,RNA,DNA,Protein,Chl a,Chl b,Mg-DVP,Chl c2,Total Chlorophylls,Total Carotenoids,Total Pigments,Carbohydrate,Total Lipid,Lipid - Pigment,Lipid P,Estimated Phospholipid
Thalassiosira pseudonana,0,160405,A,193516.6667,0.935507879,,32.857,2.605,6.6785,7,35.462,11.3506,0.899909091,26.00166364,18.78181818,12.25050909,43.71716476,228.6638599,36.3375353,2.609771825,78.99296977,12.55296674,0.901557539,14.19212655,2.630103983,0.417713124,0.906964028,0.135624023,12.69150901,0.760456338,,,0.041977413,0.80243375,0.358663608,1.161097358,5.56666536,5.331934451,4.170837093,0.025517325,0.593426172
Thalassiosira pseudonana,0,160405,B,186433.3333,0.654394194,,33.121,2.727,16.3985,6.8,35.848,11.4418,0.942054546,29.35948182,18.71272727,12.38385455,47.72483461,241.1239582,37.03030452,2.587128347,83.29736739,12.79228702,0.893735247,15.53406504,2.782079562,0.429821729,1.039035511,0.147376392,13.13646026,0.810987602,,,0.044809162,0.855796764,0.398674999,1.254471763,7.058612658,6.217187068,4.962715305,0.037412645,0.870061522
Thalassiosira pseudonana,0,160405,C,182466.6667,0.69937773,,33.41,3.3,5.8575,4.46,36.71,11.54163636,1.14,25.71804546,17.90436364,12.68163636,49.35147972,235.1849831,34.99238984,2.399024684,81.24572143,12.08828012,0.828753982,15.48083455,2.686122982,0.407235036,0.997672865,0.145382318,13.53621159,0.806294946,,,0.046415561,0.852710507,0.379256502,1.231967009,7.873599389,6.202876407,4.970909398,0.026273303,0.611007037
Thalassiosira pseudonana,,160405,A,,,0.345454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalassiosira pseudonana,,160405,B,,,0.345454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalassiosira pseudonana,,160405,C,,,0.345454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalassiosira pseudonana,1,160406,A,126366.6667,0.636718299,,4.9968,0.8624,20.3688,12.304,5.8592,,,,,,,178.0535483,28.86135136,2.032950772,,,,16.92335336,3.199042127,0.49829702,0.678681014,0.151472891,13.69288373,0.96178449,,,0.053090785,1.014875275,0.453618542,1.468493817,5.777019767,6.297810604,4.829316787,0.026865424,0.624777302
Thalassiosira pseudonana,1,160406,B,110783.3333,0.542396835,,8.14,2.2896,22.4074,11.904,10.4296,,,,,,,156.7467811,27.02210232,1.901582036,,,,16.99387902,3.41649298,0.531660744,0.877501572,0.185689379,14.32350434,1.025693729,,,0.056672231,1.08236596,0.504222808,1.586588768,5.600210953,,,0.031439817,0.731158543
Thalassiosira pseudonana,1,160406,C,110500,0.561342219,,5.4584,0.29,16.641,9.32,5.7484,,,,,,,163.115921,26.94323379,1.90941715,,,,17.72974111,3.415256042,0.535220202,0.787039138,0.18013658,15.89994972,1.019758709,,,0.058703918,1.078462627,0.479663333,1.55812596,6.440388037,7.956259427,6.398133467,0.036014211,0.837539784
Thalassiosira pseudonana,2,160407,A,218450,0.547369422,,,,,,,,,,,,,332.2898851,34.10168599,2.998638551,,,,18.26978312,2.186551088,0.425173343,,,,,,,,,,,,,,,
Thalassiosira pseudonana,2,160407,B,238000,0.764694332,,,,,,,,,,,,,347.2442201,34.63349138,3.058339871,,,,17.52372334,2.038239175,0.398018031,,,,,,,,,,,,,,,
Thalassiosira pseudonana,2,160407,C,243666.6667,0.79078565,,,,,,,,,,,,,337.8812857,34.12347418,3.081584946,,,,16.65468163,1.961520927,0.391716602,,,,,,,,,,,,,,,
Thalassiosira pseudonana,3,160408,A,290062.5,0.283539262,,0,0,17.6278,10.432,0,,,,,,,511.482382,32.56368469,3.859222444,,,,21.1790957,1.572453393,0.412099591,0.364410005,0.225173656,8.951348821,0.384750273,,,0.021387882,0.406138154,0.229941727,0.636079881,30.84740157,11.34238311,10.70630323,0.024658,0.57344186
Thalassiosira pseudonana,3,160408,B,318750,0.292136423,,0,0,17.76535,11.818,0,,,,,,,534.0207338,31.9677202,3.901718607,,,,20.12223632,1.404744365,0.379140089,0.375785266,0.249239532,7.5708061,0.41654073,,,0.022418887,0.438959617,0.254324739,0.693284357,30.77910234,9.568627451,8.875343094,0.025,0.581395349
Thalassiosira pseudonana,3,160408,C,314287.5,0.254507001,,0,0,17.5356,12.416,0,,,,,,,505.9759579,32.66962568,4.006690472,,,,19.33619835,1.45597151,0.394868638,0.381956427,0.248274548,7.96063799,0.380897688,,,0.020517994,0.401415682,0.228062013,0.629477695,21.07876501,9.959034324,9.329556629,0.027508773,0.639738914
Thalassiosira pseudonana,5,160410,A,352466.6667,-0.011191164,,,,,,,,,,,,,774.2339518,32.59074566,4.839118421,,,,26.38289689,1.29512615,0.425247879,,,,,,,,,,,,,,,
Thalassiosira pseudonana,5,160410,B,313366.6667,-0.056253846,,,,,,,,,,,,,710.9187031,31.50656403,4.808853119,,,,27.24805212,1.408263984,0.47531626,,,,,,,,,,,,,,,
Thalassiosira pseudonana,5,160410,C,375700,0.035306814,,,,,,,,,,,,,731.5899594,31.12297994,4.88509827,,,,23.38809562,1.160314727,0.402741206,,,,,,,,,,,,,,,
